"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
100,0.5,0.5,0.52,0.52,0.56,0.48,0.52,0.48,0.56,0.48,0.56,0.52,0.56,0.52,0.52,0.48,0.48,0.52,0.48,0.52,0.52,0.48,0.44,0.48,0.52,0.48,0.52,0.52,0.48,0.48,0.48,0.56,0.48,0.52,0.52,0.52,0.48,0.56,0.56,0.52,0.44,0.48,0.56,0.52,0.52,0.52,0.44,0.48,0.56,0.52,0.52,0.52,0.48,0.44,0.48,0.44,0.52,0.52,0.48,0.52,0.48,0.6
175,0.5,0.5,0.431818181818182,0.5,0.454545454545455,0.5,0.431818181818182,0.454545454545455,0.386363636363636,0.5,0.477272727272727,0.477272727272727,0.431818181818182,0.477272727272727,0.431818181818182,0.431818181818182,0.5,0.5,0.5,0.477272727272727,0.454545454545455,0.454545454545455,0.477272727272727,0.454545454545455,0.454545454545455,0.477272727272727,0.5,0.454545454545455,0.454545454545455,0.477272727272727,0.5,0.477272727272727,0.454545454545455,0.477272727272727,0.454545454545455,0.454545454545455,0.5,0.5,0.431818181818182,0.477272727272727,0.5,0.477272727272727,0.5,0.454545454545455,0.454545454545455,0.477272727272727,0.454545454545455,0.5,0.454545454545455,0.477272727272727,0.454545454545455,0.477272727272727,0.477272727272727,0.431818181818182,0.5,0.5,0.431818181818182,0.477272727272727,0.477272727272727,0.5,0.454545454545455,0.454545454545455
250,0.5,0.5,0.435483870967742,0.451612903225806,0.451612903225806,0.467741935483871,0.483870967741935,0.403225806451613,0.435483870967742,0.419354838709677,0.483870967741935,0.483870967741935,0.435483870967742,0.419354838709677,0.451612903225806,0.387096774193548,0.419354838709677,0.451612903225806,0.435483870967742,0.387096774193548,0.467741935483871,0.467741935483871,0.435483870967742,0.435483870967742,0.451612903225806,0.403225806451613,0.419354838709677,0.467741935483871,0.467741935483871,0.435483870967742,0.419354838709677,0.483870967741935,0.483870967741935,0.403225806451613,0.435483870967742,0.419354838709677,0.419354838709677,0.467741935483871,0.419354838709677,0.435483870967742,0.435483870967742,0.435483870967742,0.483870967741935,0.403225806451613,0.419354838709677,0.483870967741935,0.451612903225806,0.435483870967742,0.435483870967742,0.467741935483871,0.467741935483871,0.467741935483871,0.451612903225806,0.435483870967742,0.451612903225806,0.435483870967742,0.467741935483871,0.451612903225806,0.419354838709677,0.467741935483871,0.467741935483871,0.483870967741935
325,0.5,0.5,0.432098765432099,0.382716049382716,0.419753086419753,0.407407407407407,0.444444444444444,0.432098765432099,0.407407407407407,0.419753086419753,0.469135802469136,0.444444444444444,0.407407407407407,0.444444444444444,0.407407407407407,0.432098765432099,0.407407407407407,0.444444444444444,0.432098765432099,0.432098765432099,0.432098765432099,0.395061728395062,0.45679012345679,0.432098765432099,0.432098765432099,0.407407407407407,0.407407407407407,0.419753086419753,0.432098765432099,0.432098765432099,0.419753086419753,0.432098765432099,0.395061728395062,0.432098765432099,0.444444444444444,0.419753086419753,0.419753086419753,0.395061728395062,0.395061728395062,0.432098765432099,0.432098765432099,0.432098765432099,0.419753086419753,0.407407407407407,0.419753086419753,0.382716049382716,0.444444444444444,0.419753086419753,0.37037037037037,0.45679012345679,0.407407407407407,0.45679012345679,0.407407407407407,0.419753086419753,0.407407407407407,0.432098765432099,0.407407407407407,0.419753086419753,0.432098765432099,0.419753086419753,0.419753086419753,0.444444444444444
400,0.5,0.5,0.33,0.36,0.34,0.31,0.32,0.29,0.3,0.31,0.32,0.35,0.31,0.31,0.34,0.35,0.32,0.33,0.37,0.35,0.36,0.35,0.33,0.33,0.3,0.3,0.35,0.33,0.33,0.33,0.33,0.33,0.35,0.35,0.35,0.32,0.32,0.32,0.37,0.31,0.34,0.32,0.32,0.31,0.32,0.32,0.34,0.32,0.35,0.35,0.31,0.33,0.3,0.33,0.32,0.33,0.34,0.35,0.32,0.33,0.33,0.3
475,0.5,0.5,0.310924369747899,0.285714285714286,0.294117647058823,0.277310924369748,0.285714285714286,0.310924369747899,0.302521008403361,0.26890756302521,0.294117647058823,0.294117647058823,0.310924369747899,0.319327731092437,0.294117647058823,0.327731092436975,0.310924369747899,0.302521008403361,0.319327731092437,0.310924369747899,0.277310924369748,0.302521008403361,0.277310924369748,0.310924369747899,0.294117647058823,0.310924369747899,0.26890756302521,0.277310924369748,0.310924369747899,0.302521008403361,0.302521008403361,0.302521008403361,0.294117647058823,0.319327731092437,0.319327731092437,0.310924369747899,0.294117647058823,0.294117647058823,0.294117647058823,0.285714285714286,0.319327731092437,0.294117647058823,0.26890756302521,0.294117647058823,0.302521008403361,0.302521008403361,0.302521008403361,0.277310924369748,0.277310924369748,0.302521008403361,0.285714285714286,0.302521008403361,0.294117647058823,0.302521008403361,0.294117647058823,0.302521008403361,0.302521008403361,0.294117647058823,0.294117647058823,0.302521008403361,0.327731092436975,0.302521008403361
550,0.5,0.5,0.318840579710145,0.297101449275362,0.289855072463768,0.27536231884058,0.297101449275362,0.297101449275362,0.282608695652174,0.282608695652174,0.27536231884058,0.311594202898551,0.289855072463768,0.289855072463768,0.297101449275362,0.268115942028985,0.27536231884058,0.304347826086957,0.289855072463768,0.27536231884058,0.297101449275362,0.289855072463768,0.289855072463768,0.311594202898551,0.289855072463768,0.289855072463768,0.297101449275362,0.27536231884058,0.282608695652174,0.289855072463768,0.282608695652174,0.268115942028985,0.282608695652174,0.304347826086957,0.304347826086957,0.289855072463768,0.282608695652174,0.297101449275362,0.297101449275362,0.297101449275362,0.304347826086957,0.253623188405797,0.289855072463768,0.297101449275362,0.289855072463768,0.289855072463768,0.304347826086957,0.268115942028985,0.260869565217391,0.268115942028985,0.297101449275362,0.27536231884058,0.311594202898551,0.239130434782609,0.27536231884058,0.304347826086957,0.297101449275362,0.289855072463768,0.268115942028985,0.311594202898551,0.297101449275362,0.304347826086957
625,0.5,0.5,0.256410256410256,0.243589743589744,0.275641025641026,0.256410256410256,0.224358974358974,0.217948717948718,0.262820512820513,0.256410256410256,0.256410256410256,0.217948717948718,0.237179487179487,0.256410256410256,0.262820512820513,0.275641025641026,0.237179487179487,0.256410256410256,0.237179487179487,0.243589743589744,0.243589743589744,0.269230769230769,0.25,0.256410256410256,0.243589743589744,0.237179487179487,0.269230769230769,0.237179487179487,0.262820512820513,0.25,0.243589743589744,0.243589743589744,0.25,0.237179487179487,0.224358974358974,0.237179487179487,0.243589743589744,0.25,0.294871794871795,0.224358974358974,0.275641025641026,0.256410256410256,0.243589743589744,0.275641025641026,0.269230769230769,0.243589743589744,0.237179487179487,0.237179487179487,0.237179487179487,0.237179487179487,0.230769230769231,0.269230769230769,0.230769230769231,0.25,0.269230769230769,0.25,0.256410256410256,0.230769230769231,0.243589743589744,0.262820512820513,0.256410256410256,0.25
700,0.5,0.5,0.222857142857143,0.251428571428571,0.24,0.234285714285714,0.245714285714286,0.222857142857143,0.217142857142857,0.251428571428571,0.245714285714286,0.234285714285714,0.245714285714286,0.217142857142857,0.234285714285714,0.222857142857143,0.211428571428571,0.211428571428571,0.228571428571429,0.24,0.217142857142857,0.24,0.234285714285714,0.234285714285714,0.222857142857143,0.217142857142857,0.251428571428571,0.222857142857143,0.222857142857143,0.228571428571429,0.217142857142857,0.211428571428571,0.234285714285714,0.217142857142857,0.24,0.211428571428571,0.217142857142857,0.234285714285714,0.24,0.222857142857143,0.222857142857143,0.234285714285714,0.222857142857143,0.234285714285714,0.245714285714286,0.217142857142857,0.24,0.228571428571429,0.228571428571429,0.234285714285714,0.234285714285714,0.211428571428571,0.217142857142857,0.234285714285714,0.217142857142857,0.228571428571429,0.222857142857143,0.24,0.222857142857143,0.228571428571429,0.205714285714286,0.217142857142857
100,1,0.5,0.32,0.4,0.48,0.44,0.4,0.4,0.32,0.36,0.4,0.4,0.4,0.48,0.44,0.4,0.4,0.36,0.36,0.44,0.4,0.4,0.4,0.36,0.4,0.32,0.4,0.36,0.44,0.44,0.44,0.44,0.44,0.36,0.44,0.32,0.36,0.4,0.4,0.4,0.36,0.48,0.4,0.36,0.36,0.4,0.48,0.4,0.36,0.4,0.4,0.44,0.36,0.4,0.4,0.4,0.4,0.44,0.4,0.44,0.44,0.44
