"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120"
100,1,0.5,0.4,0.4,0.4,0.36,0.4,0.4,0.4,0.36,0.32,0.4,0.36,0.36,0.32,0.4,0.36,0.48,0.36,0.4,0.4,0.4,0.32,0.32,0.4,0.4,0.36,0.36,0.4,0.4,0.36,0.36,0.36,0.36,0.36,0.4,0.44,0.28,0.4,0.4,0.4,0.36,0.4,0.32,0.44,0.4,0.36,0.36,0.36,0.32,0.28,0.4,0.36,0.36,0.32,0.4,0.36,0.36,0.4,0.36,0.4,0.44,0.36,0.36,0.36,0.44,0.32,0.36,0.44,0.4,0.36,0.36,0.36,0.36,0.4,0.4,0.36,0.36,0.44,0.32,0.44,0.36,0.36,0.36,0.4,0.4,0.32,0.32,0.32,0.36,0.4,0.36,0.4,0.4,0.4,0.4,0.4,0.32,0.36,0.32,0.32,0.4,0.32,0.32,0.36,0.36,0.4,0.32,0.32,0.36,0.4,0.4,0.4,0.32,0.36,0.4,0.4,0.44,0.4,0.44,0.36,0.32
175,1,0.5,0.363636363636364,0.386363636363636,0.386363636363636,0.340909090909091,0.318181818181818,0.386363636363636,0.363636363636364,0.340909090909091,0.363636363636364,0.318181818181818,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.363636363636364,0.340909090909091,0.363636363636364,0.318181818181818,0.363636363636364,0.363636363636364,0.340909090909091,0.363636363636364,0.363636363636364,0.363636363636364,0.409090909090909,0.363636363636364,0.340909090909091,0.363636363636364,0.363636363636364,0.363636363636364,0.340909090909091,0.386363636363636,0.363636363636364,0.340909090909091,0.363636363636364,0.363636363636364,0.340909090909091,0.386363636363636,0.363636363636364,0.340909090909091,0.363636363636364,0.386363636363636,0.340909090909091,0.409090909090909,0.363636363636364,0.363636363636364,0.363636363636364,0.409090909090909,0.340909090909091,0.318181818181818,0.318181818181818,0.340909090909091,0.386363636363636,0.318181818181818,0.318181818181818,0.340909090909091,0.386363636363636,0.295454545454545,0.363636363636364,0.409090909090909,0.340909090909091,0.340909090909091,0.340909090909091,0.340909090909091,0.409090909090909,0.409090909090909,0.386363636363636,0.363636363636364,0.340909090909091,0.363636363636364,0.386363636363636,0.318181818181818,0.386363636363636,0.363636363636364,0.340909090909091,0.386363636363636,0.318181818181818,0.386363636363636,0.409090909090909,0.386363636363636,0.363636363636364,0.340909090909091,0.363636363636364,0.363636363636364,0.363636363636364,0.386363636363636,0.318181818181818,0.340909090909091,0.340909090909091,0.340909090909091,0.340909090909091,0.363636363636364,0.363636363636364,0.363636363636364,0.340909090909091,0.363636363636364,0.340909090909091,0.386363636363636,0.318181818181818,0.386363636363636,0.318181818181818,0.363636363636364,0.340909090909091,0.340909090909091,0.363636363636364,0.386363636363636,0.318181818181818,0.340909090909091,0.363636363636364,0.295454545454545,0.386363636363636,0.340909090909091,0.340909090909091,0.409090909090909,0.318181818181818,0.340909090909091,0.340909090909091,0.340909090909091,0.318181818181818
250,1,0.5,0.290322580645161,0.32258064516129,0.306451612903226,0.258064516129032,0.274193548387097,0.290322580645161,0.274193548387097,0.274193548387097,0.32258064516129,0.274193548387097,0.274193548387097,0.274193548387097,0.338709677419355,0.274193548387097,0.290322580645161,0.32258064516129,0.32258064516129,0.274193548387097,0.290322580645161,0.258064516129032,0.306451612903226,0.306451612903226,0.274193548387097,0.306451612903226,0.290322580645161,0.290322580645161,0.274193548387097,0.274193548387097,0.290322580645161,0.32258064516129,0.258064516129032,0.241935483870968,0.225806451612903,0.274193548387097,0.306451612903226,0.32258064516129,0.274193548387097,0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.32258064516129,0.290322580645161,0.290322580645161,0.306451612903226,0.338709677419355,0.290322580645161,0.290322580645161,0.258064516129032,0.258064516129032,0.274193548387097,0.290322580645161,0.241935483870968,0.338709677419355,0.290322580645161,0.290322580645161,0.306451612903226,0.290322580645161,0.306451612903226,0.258064516129032,0.290322580645161,0.290322580645161,0.274193548387097,0.338709677419355,0.290322580645161,0.354838709677419,0.274193548387097,0.32258064516129,0.274193548387097,0.306451612903226,0.258064516129032,0.306451612903226,0.274193548387097,0.274193548387097,0.274193548387097,0.354838709677419,0.290322580645161,0.290322580645161,0.32258064516129,0.32258064516129,0.274193548387097,0.290322580645161,0.32258064516129,0.241935483870968,0.354838709677419,0.306451612903226,0.32258064516129,0.274193548387097,0.306451612903226,0.290322580645161,0.290322580645161,0.274193548387097,0.274193548387097,0.306451612903226,0.338709677419355,0.274193548387097,0.290322580645161,0.306451612903226,0.32258064516129,0.258064516129032,0.290322580645161,0.338709677419355,0.306451612903226,0.290322580645161,0.241935483870968,0.258064516129032,0.306451612903226,0.306451612903226,0.290322580645161,0.306451612903226,0.32258064516129,0.290322580645161,0.290322580645161,0.274193548387097,0.306451612903226,0.306451612903226,0.306451612903226,0.290322580645161
325,1,0.5,0.246913580246914,0.271604938271605,0.259259259259259,0.259259259259259,0.246913580246914,0.271604938271605,0.259259259259259,0.234567901234568,0.209876543209877,0.246913580246914,0.259259259259259,0.234567901234568,0.234567901234568,0.246913580246914,0.259259259259259,0.246913580246914,0.246913580246914,0.246913580246914,0.246913580246914,0.259259259259259,0.209876543209877,0.246913580246914,0.234567901234568,0.234567901234568,0.234567901234568,0.222222222222222,0.271604938271605,0.234567901234568,0.222222222222222,0.246913580246914,0.271604938271605,0.259259259259259,0.259259259259259,0.246913580246914,0.259259259259259,0.246913580246914,0.259259259259259,0.259259259259259,0.222222222222222,0.246913580246914,0.222222222222222,0.246913580246914,0.234567901234568,0.259259259259259,0.234567901234568,0.283950617283951,0.259259259259259,0.246913580246914,0.234567901234568,0.246913580246914,0.259259259259259,0.271604938271605,0.283950617283951,0.246913580246914,0.234567901234568,0.246913580246914,0.222222222222222,0.246913580246914,0.283950617283951,0.234567901234568,0.234567901234568,0.246913580246914,0.246913580246914,0.259259259259259,0.271604938271605,0.259259259259259,0.259259259259259,0.283950617283951,0.259259259259259,0.246913580246914,0.246913580246914,0.209876543209877,0.234567901234568,0.259259259259259,0.259259259259259,0.259259259259259,0.246913580246914,0.246913580246914,0.246913580246914,0.259259259259259,0.259259259259259,0.234567901234568,0.259259259259259,0.222222222222222,0.246913580246914,0.234567901234568,0.283950617283951,0.246913580246914,0.209876543209877,0.246913580246914,0.283950617283951,0.222222222222222,0.246913580246914,0.259259259259259,0.246913580246914,0.259259259259259,0.246913580246914,0.246913580246914,0.259259259259259,0.259259259259259,0.259259259259259,0.209876543209877,0.259259259259259,0.271604938271605,0.222222222222222,0.271604938271605,0.246913580246914,0.259259259259259,0.209876543209877,0.234567901234568,0.259259259259259,0.222222222222222,0.234567901234568,0.234567901234568,0.234567901234568,0.259259259259259,0.246913580246914,0.246913580246914,0.246913580246914,0.234567901234568
400,1,0.5,0.17,0.18,0.16,0.16,0.21,0.16,0.17,0.16,0.18,0.15,0.15,0.18,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.19,0.17,0.16,0.18,0.19,0.17,0.18,0.2,0.16,0.18,0.19,0.18,0.18,0.19,0.18,0.2,0.23,0.19,0.17,0.19,0.16,0.19,0.18,0.18,0.16,0.2,0.19,0.19,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.14,0.2,0.19,0.18,0.18,0.17,0.16,0.2,0.18,0.18,0.19,0.16,0.17,0.16,0.17,0.16,0.18,0.17,0.19,0.19,0.15,0.14,0.17,0.18,0.19,0.16,0.19,0.18,0.16,0.15,0.18,0.19,0.18,0.17,0.18,0.2,0.18,0.17,0.19,0.17,0.17,0.16,0.16,0.21,0.17,0.19,0.2,0.17,0.17,0.18,0.18,0.21,0.18,0.16,0.18,0.18,0.17,0.18,0.16,0.18,0.19,0.16,0.18,0.17,0.22,0.15
475,1,0.5,0.134453781512605,0.151260504201681,0.134453781512605,0.184873949579832,0.142857142857143,0.159663865546218,0.126050420168067,0.151260504201681,0.151260504201681,0.142857142857143,0.126050420168067,0.168067226890756,0.126050420168067,0.168067226890756,0.142857142857143,0.142857142857143,0.142857142857143,0.159663865546218,0.134453781512605,0.126050420168067,0.159663865546218,0.151260504201681,0.126050420168067,0.126050420168067,0.151260504201681,0.176470588235294,0.117647058823529,0.151260504201681,0.151260504201681,0.126050420168067,0.184873949579832,0.134453781512605,0.151260504201681,0.134453781512605,0.142857142857143,0.159663865546218,0.151260504201681,0.151260504201681,0.126050420168067,0.134453781512605,0.151260504201681,0.142857142857143,0.126050420168067,0.151260504201681,0.126050420168067,0.126050420168067,0.151260504201681,0.117647058823529,0.151260504201681,0.151260504201681,0.142857142857143,0.134453781512605,0.142857142857143,0.126050420168067,0.168067226890756,0.151260504201681,0.142857142857143,0.159663865546218,0.168067226890756,0.142857142857143,0.126050420168067,0.117647058823529,0.134453781512605,0.134453781512605,0.142857142857143,0.142857142857143,0.159663865546218,0.126050420168067,0.126050420168067,0.142857142857143,0.159663865546218,0.142857142857143,0.142857142857143,0.134453781512605,0.134453781512605,0.159663865546218,0.168067226890756,0.159663865546218,0.151260504201681,0.126050420168067,0.134453781512605,0.151260504201681,0.151260504201681,0.151260504201681,0.159663865546218,0.168067226890756,0.168067226890756,0.142857142857143,0.151260504201681,0.142857142857143,0.126050420168067,0.134453781512605,0.142857142857143,0.151260504201681,0.142857142857143,0.151260504201681,0.134453781512605,0.134453781512605,0.168067226890756,0.134453781512605,0.142857142857143,0.134453781512605,0.117647058823529,0.151260504201681,0.134453781512605,0.142857142857143,0.159663865546218,0.151260504201681,0.159663865546218,0.134453781512605,0.151260504201681,0.134453781512605,0.134453781512605,0.159663865546218,0.126050420168067,0.151260504201681,0.126050420168067,0.142857142857143,0.126050420168067,0.151260504201681
550,1,0.5,0.144927536231884,0.123188405797101,0.144927536231884,0.13768115942029,0.144927536231884,0.123188405797101,0.123188405797101,0.144927536231884,0.123188405797101,0.144927536231884,0.152173913043478,0.13768115942029,0.144927536231884,0.144927536231884,0.13768115942029,0.144927536231884,0.159420289855073,0.144927536231884,0.144927536231884,0.13768115942029,0.123188405797101,0.123188405797101,0.123188405797101,0.152173913043478,0.144927536231884,0.144927536231884,0.115942028985507,0.13768115942029,0.130434782608696,0.144927536231884,0.13768115942029,0.108695652173913,0.13768115942029,0.152173913043478,0.152173913043478,0.13768115942029,0.144927536231884,0.130434782608696,0.144927536231884,0.13768115942029,0.13768115942029,0.152173913043478,0.123188405797101,0.159420289855073,0.144927536231884,0.115942028985507,0.123188405797101,0.144927536231884,0.13768115942029,0.130434782608696,0.123188405797101,0.144927536231884,0.152173913043478,0.130434782608696,0.159420289855073,0.166666666666667,0.123188405797101,0.13768115942029,0.159420289855073,0.130434782608696,0.108695652173913,0.130434782608696,0.130434782608696,0.115942028985507,0.144927536231884,0.173913043478261,0.130434782608696,0.152173913043478,0.152173913043478,0.152173913043478,0.130434782608696,0.13768115942029,0.130434782608696,0.13768115942029,0.152173913043478,0.130434782608696,0.123188405797101,0.159420289855073,0.130434782608696,0.115942028985507,0.144927536231884,0.159420289855073,0.152173913043478,0.166666666666667,0.13768115942029,0.144927536231884,0.144927536231884,0.13768115942029,0.152173913043478,0.152173913043478,0.159420289855073,0.115942028985507,0.123188405797101,0.152173913043478,0.123188405797101,0.166666666666667,0.144927536231884,0.130434782608696,0.123188405797101,0.13768115942029,0.130434782608696,0.144927536231884,0.159420289855073,0.152173913043478,0.13768115942029,0.144927536231884,0.130434782608696,0.130434782608696,0.152173913043478,0.130434782608696,0.130434782608696,0.144927536231884,0.144927536231884,0.144927536231884,0.144927536231884,0.173913043478261,0.123188405797101,0.13768115942029,0.130434782608696,0.13768115942029
625,1,0.5,0.0897435897435898,0.0961538461538461,0.0833333333333334,0.0705128205128205,0.0961538461538461,0.0897435897435898,0.108974358974359,0.0897435897435898,0.102564102564103,0.108974358974359,0.0897435897435898,0.0705128205128205,0.121794871794872,0.0961538461538461,0.0961538461538461,0.0961538461538461,0.0961538461538461,0.108974358974359,0.0705128205128205,0.0961538461538461,0.0897435897435898,0.0897435897435898,0.0769230769230769,0.0897435897435898,0.102564102564103,0.115384615384615,0.0961538461538461,0.0897435897435898,0.108974358974359,0.0833333333333334,0.102564102564103,0.0961538461538461,0.102564102564103,0.128205128205128,0.0961538461538461,0.0833333333333334,0.0897435897435898,0.0897435897435898,0.108974358974359,0.0769230769230769,0.0833333333333334,0.0961538461538461,0.0897435897435898,0.0961538461538461,0.108974358974359,0.0961538461538461,0.108974358974359,0.115384615384615,0.0769230769230769,0.0833333333333334,0.108974358974359,0.108974358974359,0.0769230769230769,0.0897435897435898,0.102564102564103,0.115384615384615,0.0897435897435898,0.0705128205128205,0.0961538461538461,0.0833333333333334,0.0769230769230769,0.0833333333333334,0.102564102564103,0.0833333333333334,0.0897435897435898,0.0961538461538461,0.0897435897435898,0.0961538461538461,0.0961538461538461,0.121794871794872,0.0961538461538461,0.102564102564103,0.108974358974359,0.0961538461538461,0.0961538461538461,0.0641025641025641,0.102564102564103,0.0769230769230769,0.102564102564103,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0961538461538461,0.0833333333333334,0.0897435897435898,0.0961538461538461,0.0961538461538461,0.102564102564103,0.108974358974359,0.0833333333333334,0.108974358974359,0.0897435897435898,0.0897435897435898,0.102564102564103,0.102564102564103,0.0833333333333334,0.102564102564103,0.121794871794872,0.115384615384615,0.108974358974359,0.108974358974359,0.0833333333333334,0.0897435897435898,0.0897435897435898,0.102564102564103,0.0705128205128205,0.0897435897435898,0.0961538461538461,0.108974358974359,0.0961538461538461,0.0897435897435898,0.0897435897435898,0.121794871794872,0.0897435897435898,0.0897435897435898,0.0833333333333334,0.0897435897435898,0.102564102564103,0.0833333333333334
700,1,0.5,0.0857142857142857,0.0857142857142857,0.0914285714285714,0.08,0.0971428571428572,0.08,0.0742857142857143,0.0857142857142857,0.0742857142857143,0.0628571428571428,0.0628571428571428,0.0742857142857143,0.0971428571428572,0.0685714285714286,0.0742857142857143,0.0914285714285714,0.0914285714285714,0.0742857142857143,0.0914285714285714,0.0742857142857143,0.0742857142857143,0.0857142857142857,0.08,0.0971428571428572,0.0742857142857143,0.0857142857142857,0.08,0.08,0.0628571428571428,0.0971428571428572,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.08,0.08,0.08,0.0628571428571428,0.0742857142857143,0.0971428571428572,0.0742857142857143,0.0685714285714286,0.0914285714285714,0.0742857142857143,0.0742857142857143,0.08,0.0971428571428572,0.0857142857142857,0.08,0.08,0.08,0.0857142857142857,0.0685714285714286,0.0857142857142857,0.0857142857142857,0.0914285714285714,0.08,0.0685714285714286,0.08,0.0857142857142857,0.0971428571428572,0.0742857142857143,0.0857142857142857,0.08,0.0742857142857143,0.0971428571428572,0.0971428571428572,0.0914285714285714,0.08,0.0628571428571428,0.0742857142857143,0.08,0.0857142857142857,0.08,0.0571428571428572,0.0742857142857143,0.08,0.0914285714285714,0.0914285714285714,0.0914285714285714,0.0914285714285714,0.0914285714285714,0.0514285714285714,0.102857142857143,0.0742857142857143,0.0685714285714286,0.08,0.0857142857142857,0.0971428571428572,0.08,0.0857142857142857,0.08,0.0914285714285714,0.0857142857142857,0.12,0.0742857142857143,0.0742857142857143,0.0857142857142857,0.102857142857143,0.0742857142857143,0.08,0.0971428571428572,0.0685714285714286,0.08,0.08,0.08,0.0857142857142857,0.0685714285714286,0.0857142857142857,0.0914285714285714,0.08,0.0914285714285714,0.08,0.0857142857142857,0.0914285714285714,0.0857142857142857,0.08,0.08,0.0914285714285714,0.0742857142857143,0.08
100,1,1,0.24,0.28,0.24,0.28,0.28,0.24,0.28,0.28,0.24,0.28,0.24,0.24,0.28,0.24,0.24,0.36,0.24,0.28,0.32,0.28,0.2,0.24,0.32,0.32,0.2,0.28,0.4,0.36,0.28,0.2,0.32,0.16,0.28,0.28,0.36,0.24,0.28,0.24,0.2,0.2,0.28,0.28,0.32,0.28,0.24,0.32,0.28,0.2,0.2,0.24,0.24,0.24,0.28,0.28,0.32,0.24,0.28,0.24,0.28,0.32,0.24,0.28,0.28,0.32,0.24,0.28,0.36,0.28,0.24,0.28,0.28,0.24,0.24,0.24,0.32,0.28,0.28,0.24,0.32,0.28,0.2,0.28,0.28,0.32,0.24,0.2,0.24,0.12,0.28,0.28,0.28,0.24,0.32,0.32,0.28,0.28,0.28,0.2,0.32,0.28,0.28,0.2,0.28,0.28,0.36,0.24,0.28,0.32,0.28,0.4,0.24,0.28,0.2,0.28,0.36,0.36,0.28,0.32,0.32,0.28
