
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  15  for n, p, epsilon =  100 1 0.5
 Iteration  6  for n, p, epsilon =  100 1 0.5
 Iteration  4  for n, p, epsilon =  100 1 0.5
 Iteration  9  for n, p, epsilon =  100 1 0.5
 Iteration  8  for n, p, epsilon =  100 1 0.5
 Iteration  12  for n, p, epsilon =  100 1 0.5
 Iteration  14  for n, p, epsilon =  100 1 0.5
 Iteration  5  for n, p, epsilon =  100 1 0.5
 Iteration  11  for n, p, epsilon =  100 1 0.5
 Iteration  13  for n, p, epsilon =  100 1 0.5
 Iteration  3  for n, p, epsilon =  100 1 0.5
 Iteration  7  for n, p, epsilon =  100 1 0.5
 Iteration  10  for n, p, epsilon =  100 1 0.5
 Iteration  2  for n, p, epsilon =  100 1 0.5
 Iteration  1  for n, p, epsilon =  100 1 0.5
 Iteration  15  for n, p, epsilon =  100 1 0.75
 Iteration  4  for n, p, epsilon =  100 1 0.75
 Iteration  9  for n, p, epsilon =  100 1 0.75
 Iteration  14  for n, p, epsilon =  100 1 0.75
 Iteration  12  for n, p, epsilon =  100 1 0.75
 Iteration  6  for n, p, epsilon =  100 1 0.75
 Iteration  8  for n, p, epsilon =  100 1 0.75
 Iteration  13  for n, p, epsilon =  100 1 0.75
 Iteration  11  for n, p, epsilon =  100 1 0.75
 Iteration  7  for n, p, epsilon =  100 1 0.75
 Iteration  3  for n, p, epsilon =  100 1 0.75
 Iteration  10  for n, p, epsilon =  100 1 0.75
 Iteration  5  for n, p, epsilon =  100 1 0.75
 Iteration  15  for n, p, epsilon =  100 1 1
 Iteration  1  for n, p, epsilon =  100 1 0.75
 Iteration  2  for n, p, epsilon =  100 1 0.75
 Iteration  9  for n, p, epsilon =  100 1 1
 Iteration  6  for n, p, epsilon =  100 1 1
 Iteration  4  for n, p, epsilon =  100 1 1
 Iteration  8  for n, p, epsilon =  100 1 1
 Iteration  11  for n, p, epsilon =  100 1 1
 Iteration  12  for n, p, epsilon =  100 1 1
 Iteration  14  for n, p, epsilon =  100 1 1
 Iteration  7  for n, p, epsilon =  100 1 1
 Iteration  13  for n, p, epsilon =  100 1 1
 Iteration  10  for n, p, epsilon =  100 1 1
 Iteration  3  for n, p, epsilon =  100 1 1
