"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
100,0.5,0.5,2.25509106147753,2.41622427416404,2.32765812532981,2.31227240540927,2.30225254973268,2.13806837731701,2.26180081012797,2.28981532057565,2.31959368147622,2.41566523564523,2.19459189198756,2.35931681713721,2.40683615925199,2.52621782038047,2.40450452931574,2.20767412651582,2.34949050615857,2.36043777225432,2.19866431098034,2.27203822057653,2.39958596793649,2.34304510901202,2.37962966443663,2.24974641267333,2.32849740289012,2.25893099661208,2.27221543981981,2.48778522530798,2.38082272382685,2.21458019162367,2.11110871584933,2.21231708114793,2.35304737950457,2.32426552484952,2.44792604071804,2.24620460664993,2.41909086459871,2.14718851975836,2.2263682877395,2.17308624621976,2.24619555062292,2.52949301896487,2.24129081328862,2.12158417504875,2.25326731773033,2.15496983270703,2.4661425649688,2.36790448323875,2.51288957627899,2.31801610468125,2.29536721168052,2.31174727573113,2.26539500363273,1.8402125327974,2.34328131594764,2.3256685676433,2.36079810118404,2.65203673137319,2.16746231748106,2.45060775217396
175,0.5,0.5,0.930906963135455,0.746322469033832,0.972538927623682,1.0541861126215,1.02034232950672,1.02131718372017,1.05020465528022,0.898142931043766,1.0796239834028,1.06505859728943,0.88907190195765,1.03498613566509,0.875509196142732,1.17990898491999,0.887065762393195,1.01859233585114,0.886488925101622,1.03166398823055,0.926989726886812,1.02422502753978,0.968013113741244,1.02119635157651,0.854061254213309,0.925915619723044,0.904847517674691,1.01885111962518,1.15456541816237,0.84920187151608,0.879326258495029,0.895363873526336,0.819892629254769,0.929685876047303,0.850893131843565,1.06936434300885,0.903405798489269,1.01917412384132,0.895587681980158,0.972850123689656,0.803628319081783,1.08337428089241,1.06462976348125,0.771021612223424,0.852809574353332,0.945714903348332,0.937453940745591,1.03436570331643,0.974080966023441,0.824439280006377,1.16851018547053,0.952931198836447,1.07080999083119,0.951344618780863,0.86961501545128,0.918473391363509,0.867989362465564,0.925854273899228,0.932802327185239,0.826566354648441,0.949539811849842,1.06959064174055
250,0.5,0.5,0.203244160627452,0.118661640502091,0.163799548519553,0.205973368331824,0.36139663315953,0.247083239490287,0.221988675206849,0.205913015185105,0.359980093200433,0.160264054529303,0.274503965720535,0.118087993480213,0.290324077829472,0.439185425293239,0.0343559870818283,0.246197857088083,0.187086818822335,0.292714688603956,0.291147688749362,0.247775935187365,0.0984699300329062,0.163254519178808,0.289182845607823,0.196019213657704,0.40809173532095,0.302908434401247,0.0348612672888198,0.398485818922301,0.228962901171647,0.0877548951226775,0.0739597821102254,0.264368376354057,0.284183986477913,0.24851870537946,0.26602284928834,0.324362189905052,0.229646554451569,0.0323303631679281,0.467342524069971,0.370076000428201,0.168551703920296,0.333859741623724,0.245379387678187,0.0698710322623863,0.208268884012062,0.255717952075442,0.23264553840363,0.294945896373676,0.311631155988596,0.331897105434029,0.0972983809759055,0.194104167281929,0.219741075264322,0.162037389169458,0.00986735509524137,0.324151581682895,0.255187429438769,0.260021411413218,0.208591679077593,0.439748060276458
325,0.5,0.5,-0.0380203740584061,0.0689556400490861,-0.0209258540246875,0.109681833007911,-0.0455837271804485,-0.0264307491242749,-0.00186807086386642,0.0839779475483502,-0.129917437755027,0.183554737674626,-0.067878489902889,-0.212033600017055,-0.198761358091535,-0.0881838850415361,0.187592891953791,-0.085197892922378,0.170187361723828,0.0573483339463803,0.142516928195045,-0.15831299679347,0.210452809791636,0.194022798987778,0.0539292137330559,0.0739135743178472,0.0389716480033534,-0.190456154239972,-0.0289373079403909,0.159268608194088,-0.0429080257666768,0.122213800029839,-0.00605119156998891,0.0505812185474424,-0.0252474549391936,0.0608488109577827,0.0826134044077477,0.151982597839675,0.161137899789284,0.157322647552149,-0.00582566180160065,0.167648917150262,-0.0271334563619961,0.0660436974300613,-0.114727419035618,-0.0748013012958234,-0.128101245748237,0.0788668629439991,0.0874816679887257,0.0979183202073621,-0.13309365701162,0.200116280365165,-0.105440297036637,-0.056205078520584,0.154896540558789,0.12411845096188,-0.0664024420806065,0.0516469110716579,0.0729835753342771,-0.121129818444594,-0.0467281586023455,-0.055285180185685
400,0.5,0.5,-0.145285376344525,-0.253329353757872,-0.24073101165829,-0.356892616518072,-0.257266048135865,-0.159758271480681,-0.183202074428006,-0.0971879823737443,-0.264879779156405,-0.0950195182729465,-0.240279322424588,-0.189748396739528,-0.376972010817208,-0.121522481552044,-0.322759697676944,-0.292048767919034,-0.328360962145599,-0.0682188261380798,-0.354402643937216,-0.276462087426415,-0.113772305447975,-0.244801003734577,-0.382920238212524,-0.289850768579608,-0.392351693423785,-0.155285340242604,-0.0639798119881192,-0.126909994627256,-0.31006068273477,-0.170782828831423,-0.233198456302428,-0.206261358012152,-0.18099631421643,-0.218339601249145,-0.360447533679913,-0.246273455262536,-0.318374210765165,-0.260147512473192,-0.093239971512894,-0.28746525767211,-0.31204434667722,-0.22852258692312,-0.186347577732978,-0.3896942267125,-0.186747239693443,-0.286767422918098,-0.0858244660838171,-0.269367726806762,-0.201716640903501,-0.180112527437002,-0.341898311431058,-0.308804429917224,-0.213604493536072,-0.162043652186517,-0.106920237833934,-0.339130003162032,-0.180112161116112,-0.0277110697503334,-0.266788869420314,-0.126710216644738
475,0.5,0.5,-0.442641147031799,-0.43677882401988,-0.45815084344789,-0.469431433024517,-0.448080628969093,-0.458568565164156,-0.507304811754989,-0.431338233352158,-0.524902033099967,-0.446573506655476,-0.485709823300508,-0.471814211140078,-0.492795576567286,-0.478393002595508,-0.498788473332898,-0.508525971637297,-0.555265456864011,-0.483514199052425,-0.545312484283417,-0.498174501656089,-0.489184842165872,-0.485877895339566,-0.46980222642182,-0.460200775860384,-0.524088142722818,-0.300650549880335,-0.483234853938787,-0.424024288986879,-0.435985298702557,-0.4697413913476,-0.501921685280307,-0.465704896231329,-0.436448457937251,-0.461401791207523,-0.550802228944356,-0.521069630628946,-0.452027284250241,-0.469192621250288,-0.410785140834652,-0.492876996804883,-0.481633657280773,-0.433147883112337,-0.423442627668307,-0.485593580098406,-0.472933954984353,-0.489732527265863,-0.300026033183953,-0.464922320769088,-0.478425409527948,-0.486414966737628,-0.401780395473447,-0.439402254727193,-0.488379041297204,-0.435297470528049,-0.432933361052783,-0.490607522340276,-0.433923239128989,-0.481567944815799,-0.42417560667514,-0.477078086954485
550,0.5,0.5,-0.499738036875409,-0.540031644095016,-0.506242472051026,-0.50382328282358,-0.533571716796427,-0.503001903857603,-0.504821172576185,-0.498985826408163,-0.555346590044644,-0.487849422576423,-0.466195531201324,-0.536239170570968,-0.552321773139551,-0.538300915130284,-0.48934303795073,-0.523602290910037,-0.49138737121225,-0.509597913865423,-0.533050635359065,-0.536596144025621,-0.561798074746648,-0.554607769318759,-0.525110307755068,-0.47834394319509,-0.496510753073919,-0.510164867746197,-0.514032888900909,-0.348614110027515,-0.499108239508666,-0.503306008005963,-0.525749861217268,-0.535309715519929,-0.492943761873176,-0.530718474258533,-0.532003895355424,-0.525060024639261,-0.502285287022802,-0.426004694934706,-0.534693835790182,-0.495829792318435,-0.479240467957304,-0.528193361651176,-0.493046068634375,-0.576199465096784,-0.540717860870655,-0.519627567015106,-0.48765330424869,-0.482315699970385,-0.430326044625664,-0.550483087803974,-0.479230000310314,-0.476948074035428,-0.40305131845273,-0.511017731576941,-0.476589676097122,-0.496669455341589,-0.514841187535735,-0.553464229797165,-0.486655278677908,-0.363646011591476
625,0.5,0.5,-0.587628549200082,-0.572796172638565,-0.562619607556988,-0.574552591839242,-0.543868353850711,-0.559390891141876,-0.557636487261065,-0.578051700251126,-0.556113149539749,-0.597604197659918,-0.595540748324133,-0.450547329992138,-0.591671199368068,-0.610592093331045,-0.404365356622659,-0.576228496533783,-0.624187881573535,-0.446820751903931,-0.645341128234461,-0.584430916312674,-0.556920084664104,-0.553730636420201,-0.57327249396442,-0.598367896334693,-0.59244834940174,-0.587564091584152,-0.562870376994364,-0.52569025913395,-0.614682224229498,-0.620410493495774,-0.566916404069449,-0.600516059940631,-0.530669236143273,-0.559574940663581,-0.549353224130288,-0.565920156351977,-0.634371112850305,-0.591355572538608,-0.547810570311033,-0.56025383324173,-0.613679018554536,-0.387179274520322,-0.585070612492292,-0.590823206580959,-0.544101177433243,-0.610158548017167,-0.570283282343449,-0.572488360208856,-0.545034027478223,-0.602983002312595,-0.613092635100177,-0.58151219910805,-0.579031908898408,-0.554688503746592,-0.631304407014728,-0.586803430638472,-0.524386584587652,-0.584499680247284,-0.643189915266513,-0.424425287372981
700,0.5,0.5,-0.565924466195439,-0.586056069262986,-0.637840963708169,-0.592147220828901,-0.616956889994934,-0.630305261217058,-0.588909625447515,-0.665818535762302,-0.564939593428351,-0.623064954442003,-0.62528911724394,-0.664494692881063,-0.662815731897696,-0.641260245753684,-0.598231695421802,-0.613692344669789,-0.668137344422524,-0.630043980109065,-0.619644927923429,-0.666299318795998,-0.653448165967629,-0.657150167161326,-0.691962985916821,-0.668376722495934,-0.651742863754208,-0.632870815767465,-0.608677917626272,-0.582201026060378,-0.666028314822135,-0.682361802894826,-0.589877885246861,-0.615696751060835,-0.572084512817385,-0.628520491707262,-0.636578897656492,-0.651090520487222,-0.592028125517703,-0.612107502861633,-0.643725037625194,-0.587518144769845,-0.640226872149762,-0.639205867144735,-0.599483743245286,-0.636922140246937,-0.666584875274143,-0.636924850598933,-0.632019077615521,-0.644529203118831,-0.623422738291071,-0.621502247298533,-0.603165563969427,-0.613472227018143,-0.596555834737771,-0.535242634142551,-0.608693355939194,-0.607144550405669,-0.603896922516035,-0.634373777936456,-0.572114984099133,-0.646987463301999
100,1,0.5,1.04979635818145,0.896798307293133,1.17376139780028,1.1493069292524,0.896760807370792,1.32245256597864,1.09977385751571,1.14955539332019,1.04957528140558,0.973508222812726,0.998467478782819,1.02431890747464,0.973368720221753,0.948513893284878,0.738191202021232,0.711339082770852,0.998200626433631,0.870551692014866,0.870109662749885,1.17410379939306,0.922272392356072,0.869864587187033,0.870955387194665,1.12429939021301,0.844388940550678,1.04938521112158,1.04851792954493,1.02408483755619,0.844014013794447,1.39448536762705,1.02443508615474,0.81814132083643,1.02410804789422,1.02428150334566,1.02376027806744,0.998473371938027,0.998527407848877,0.844157733204776,1.02489828367584,1.04934958424706,0.792616302341153,0.869888965407323,1.14961587103601,0.973210743687597,0.973030639460283,1.04926006571773,1.02480104000129,1.02320753503361,0.948120611658103,1.19893461848378,1.07364338178467,0.922226584058758,1.07537809660683,0.998630202769304,1.0489462510626,0.974238322056783,1.17304754054335,1.07453845426186,0.999640430573127,1.17342590061362
