"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",0.16,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.12,0.12,0.16,0.08,0.08,0.12,0.08,0.08,0.16,0.08,0.12,0.12,0.12,0,0.12,0.16,0,0.08,0.16,0.08,0.16,0.16,0.08,0.08,0.08,0.04,0.08,0.12,0.2,0.04,0.12,0.12,0.08,0.16,0.16,0.12,0.12
"2",0.0526315789473685,0.105263157894737,0.0789473684210527,0.105263157894737,0.0526315789473685,0.0263157894736842,0.157894736842105,0.0789473684210527,0.0789473684210527,0.0526315789473685,0.0789473684210527,0.0789473684210527,0.105263157894737,0.0526315789473685,0.0789473684210527,0.131578947368421,0.0789473684210527,0.0789473684210527,0.0789473684210527,0.0526315789473685,0.0526315789473685,0.105263157894737,0.105263157894737,0.0526315789473685,0.0526315789473685,0.0526315789473685,0.0526315789473685,0.0789473684210527,0.157894736842105,0.0526315789473685,0.0526315789473685,0.0789473684210527,0.0789473684210527,0.105263157894737,0.131578947368421,0.131578947368421,0.105263157894737,0.0789473684210527,0.0263157894736842,0.0526315789473685,0.0789473684210527,0.0263157894736842,0.105263157894737,0.0789473684210527,0.0789473684210527
"3",0.04,0.08,0.0600000000000001,0.1,0.0600000000000001,0.04,0.0600000000000001,0.14,0.0600000000000001,0.08,0.02,0.08,0.08,0.08,0.0600000000000001,0.0600000000000001,0.0600000000000001,0.0600000000000001,0.1,0.1,0.0600000000000001,0.08,0.02,0.04,0.04,0.08,0.0600000000000001,0.0600000000000001,0.04,0.0600000000000001,0.04,0.04,0.08,0.04,0.1,0.0600000000000001,0.08,0.04,0.08,0.0600000000000001,0.04,0.08,0.08,0.1,0.1
"4",0.0483870967741935,0.0483870967741935,0.032258064516129,0.0645161290322581,0.0483870967741935,0.032258064516129,0.0806451612903226,0.032258064516129,0.032258064516129,0.0806451612903226,0.0645161290322581,0.032258064516129,0.0806451612903226,0.0645161290322581,0.032258064516129,0.0645161290322581,0.0161290322580645,0.032258064516129,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.0806451612903226,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0806451612903226,0.0806451612903226,0.032258064516129,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0645161290322581,0.032258064516129,0.032258064516129,0.0645161290322581,0.0967741935483871,0.0645161290322581,0.0483870967741935,0.0483870967741935,0,0.0483870967741935,0.0483870967741935,0.0483870967741935
"5",0.04,0.0266666666666666,0.0533333333333333,0.0533333333333333,0,0.0666666666666667,0.0133333333333333,0.04,0.0266666666666666,0.0133333333333333,0.0266666666666666,0.04,0.04,0.0133333333333333,0.0266666666666666,0.0266666666666666,0.0133333333333333,0.0533333333333333,0.0266666666666666,0.0266666666666666,0.0266666666666666,0.0666666666666667,0.0533333333333333,0,0.0133333333333333,0.0533333333333333,0.04,0.0533333333333333,0.0533333333333333,0.0266666666666666,0.0266666666666666,0.0266666666666666,0.04,0.0133333333333333,0.04,0.04,0.04,0.0533333333333333,0.0266666666666666,0.0133333333333333,0.04,0.04,0.0266666666666666,0.0533333333333333,0.0133333333333333
"6",0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0340909090909091,0.0227272727272727,0.0340909090909091,0.0113636363636364,0.0113636363636364,0.0227272727272727,0.0340909090909091,0.0227272727272727,0,0.0340909090909091,0.0340909090909091,0.0227272727272727,0.0454545454545454,0.0340909090909091,0.0113636363636364,0.0113636363636364,0.0227272727272727,0.0454545454545454,0.0227272727272727,0.0227272727272727,0.0113636363636364,0.0113636363636364,0.0340909090909091,0.0227272727272727,0.0454545454545454,0.0340909090909091,0,0.0340909090909091,0.0227272727272727,0.0340909090909091,0.0227272727272727,0.0113636363636364,0.0227272727272727,0.0113636363636364,0.0113636363636364,0.0340909090909091,0.0454545454545454,0.0227272727272727,0.0227272727272727,0.0568181818181818
"7",0.02,0.03,0.02,0.04,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.01,0.04,0.03,0.02,0.01,0.02,0.02,0.02,0.0600000000000001,0.01,0.04,0.02,0.01,0.02,0.01,0,0.02,0.04,0.02,0.03,0.02
"8",0,0.0178571428571429,0.0089285714285714,0,0.0178571428571429,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0267857142857143,0,0.0089285714285714,0.0089285714285714,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0178571428571429,0.0267857142857143,0,0.0089285714285714,0.0267857142857143,0.0089285714285714,0.0178571428571429,0.0178571428571429,0.0089285714285714,0.0089285714285714,0,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0089285714285714,0,0.0178571428571429,0.0089285714285714,0.0178571428571429,0.0089285714285714,0.0089285714285714,0.0089285714285714,0,0,0.0089285714285714,0.0089285714285714,0
"9",0,0.00800000000000001,0.016,0.016,0.00800000000000001,0.016,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.016,0.00800000000000001,0.00800000000000001,0.016,0.00800000000000001,0.016,0.024,0.016,0.016,0.016,0.00800000000000001,0,0.024,0.032,0.00800000000000001,0.00800000000000001,0.032,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.016,0.016,0.00800000000000001,0.016,0,0.016,0.00800000000000001,0.024,0.016,0.016,0.016,0.00800000000000001,0.00800000000000001,0.00800000000000001
"10",0,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.0144927536231884,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0,0.0144927536231884,0.00724637681159424,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0,0.00724637681159424,0.00724637681159424,0.00724637681159424,0,0,0.00724637681159424,0.00724637681159424,0,0.00724637681159424,0.0144927536231884,0.0217391304347826,0.0144927536231884,0.00724637681159424,0.0217391304347826,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0,0.0144927536231884,0.00724637681159424,0.00724637681159424
