"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120"
100,1,0.5,-0.0288202698322057,-0.0370200844232283,-0.0745555342763909,-0.0367835032099546,-0.0465881499939532,-0.0163189066688615,-0.0586394945676341,-0.0324993752796161,-0.0365456764290884,-0.048956436116441,-0.0317566943185304,-0.0426356434827216,-0.0354152536275051,-0.0603713635518056,-0.0429068977123721,-0.0155248689382923,-0.0556626466845205,-0.0666224178751326,-0.0221068049702821,-0.0517454161300618,-0.0659105281527855,-0.0475909008604368,-0.0145216993785795,-0.0360982454633915,-0.0744266711013651,-0.026078138740601,-0.0670333405532734,-0.0381364373039807,-0.0475819763618216,-0.0683925523810322,-0.0529402782100815,-0.0396825477719135,-0.0241647200788813,-0.0838165538575031,-0.0435563088119528,-0.0428716974753174,-0.0499455622139436,-0.0665124029539907,-0.0546650891611805,-0.0449593074138018,-0.0300598334537597,-0.0543488750143138,-0.0449123232707343,-0.0352600775164888,-0.0444638228387007,-0.041015082535317,-0.0395918721512726,-0.049712667916414,-0.0715158957579685,-0.0527557095016682,-0.0412711286796955,-0.0437984542766736,-0.0544531720371202,-0.0596639960946952,-0.0329923630681917,-0.0426887472952631,-0.0658432929004881,-0.0380529730275091,-0.0450949572757527,-0.0460175660679231,-0.0512697133823743,-0.0587314638206215,-0.0477500304883499,-0.0485814813271509,-0.0583312868119061,-0.0606947055183504,-0.0465991767576746,-0.0479885548551607,-0.059026610365636,-0.0543770751341863,-0.0334384022920845,-0.0480882136656104,-0.0364560224477768,-0.050456851997867,-0.0331103689437101,-0.0459085342623934,-0.0355282499909048,-0.0321752582818177,-0.0274116506442061,-0.0269118884071301,-0.0396844174554643,-0.0249990946124731,-0.0520764657524079,-0.0344274708874699,-0.0524756034839889,-0.0498994054773132,-0.0270489755478022,-0.0728827593725571,-0.0443693904759539,-0.0632580506003158,0.00256799763655396,-0.0561313492636779,-0.0308143531435712,-0.028209125577677,-0.0609359493472026,-0.0545332042886596,-0.0566933686371571,-0.0298380983737442,-0.0310417716067797,-0.0650066563061024,-0.0432681975285169,-0.0411342295749858,-0.0407918010324248,-0.0536077691337512,-0.0436059017725495,-0.076646601707278,-0.0667848502968706,-0.0603906789133964,-0.0524798875455334,-0.0366348597083543,-0.0166448839098515,-0.0545980103930978,-0.03111268333004,-0.0779750562797893,-0.0275928905516966,-0.0368122753485386,-0.0413828137502819,-0.0258177008252405,-0.0526876390846321,-0.0615090467586791
175,1,0.5,-0.226474027878402,-0.231741833992608,-0.231081003186666,-0.223992615354572,-0.221630235776503,-0.235616254445823,-0.22143185106507,-0.227227468088595,-0.271513666319348,-0.227178495641414,-0.235596791647611,-0.223780585875136,-0.242014189511702,-0.240219497897556,-0.22540899303857,-0.249025903477387,-0.237079781685509,-0.223882949294403,-0.240063520352217,-0.215941661217651,-0.244043931631618,-0.246303159407518,-0.244827954507949,-0.230660765365832,-0.251986352353848,-0.231293428779879,-0.241135706953629,-0.228966291194584,-0.24055395300478,-0.24691174529571,-0.216623981374151,-0.238030440605864,-0.239382294821934,-0.234881517614729,-0.23518440497134,-0.221786220538136,-0.202383551976755,-0.224790696559272,-0.220067110357652,-0.207434447110372,-0.223101990416688,-0.230121821780564,-0.232066739773291,-0.226831670318415,-0.225347659853203,-0.206829861530814,-0.232503718883674,-0.225861374487962,-0.236553200149698,-0.21272513623268,-0.229295232791777,-0.238748930632419,-0.222857994141407,-0.247670437171401,-0.2422162635206,-0.252164359781768,-0.241231819391001,-0.220400669222546,-0.2517542504111,-0.227820311422873,-0.229757643797777,-0.249692194100833,-0.25806909007779,-0.233316302855416,-0.210567835092608,-0.237768625362107,-0.224813419259203,-0.229640858879037,-0.235700969397666,-0.251566325471963,-0.233026087459125,-0.229439685456849,-0.224279368184515,-0.234893379523591,-0.226485878730663,-0.239371848923095,-0.242115458148691,-0.220160350166406,-0.228207175160854,-0.216448320196691,-0.217635501715925,-0.222342970720219,-0.229453454802497,-0.199814460501622,-0.233748890454822,-0.220585529928602,-0.229296278747983,-0.230301526176008,-0.24007482923947,-0.24628736669268,-0.240178671495149,-0.254480481004504,-0.246317508119733,-0.22607102040598,-0.238520013248844,-0.244031892802008,-0.215993283523339,-0.240004357769686,-0.236427494688917,-0.249202952985378,-0.211642633930724,-0.224727744672688,-0.225952600740846,-0.239884364681312,-0.218215903623936,-0.229922819802852,-0.216623324003913,-0.222054401492592,-0.237064005645987,-0.214769239655355,-0.255866342493095,-0.228301694185536,-0.226708163102209,-0.251537580621054,-0.233059062549279,-0.242229307823951,-0.230517636735555,-0.224466899685269,-0.242042982235433,-0.234146046182373
250,1,0.5,-0.378709631156047,-0.386608856197437,-0.393818152014975,-0.38333043590814,-0.421343273409141,-0.384541300845143,-0.409977643292052,-0.406406185297638,-0.39612398784437,-0.376913094340138,-0.381661802377204,-0.39873379755089,-0.381580732805567,-0.395334236177399,-0.392178206346977,-0.39213800456044,-0.397707714128753,-0.383399462936429,-0.397318976178962,-0.384219400523815,-0.411280892317252,-0.401192311794135,-0.398486848375819,-0.377144893788206,-0.399036030107665,-0.390934504268097,-0.41665927931894,-0.397245866681383,-0.399900928404632,-0.402114234433685,-0.402240449258417,-0.404711359117076,-0.395134696140181,-0.395715950433074,-0.388140907809011,-0.384241708417487,-0.388207668211377,-0.415902970649931,-0.376726045462729,-0.385190406989935,-0.38896406569687,-0.399134672733521,-0.390009656874024,-0.384301606984522,-0.396545673448404,-0.384823375764315,-0.372277316488888,-0.381942222099689,-0.39601183800747,-0.395658182345078,-0.403199770948861,-0.414418832096611,-0.3983803090884,-0.403545181319353,-0.400430841335989,-0.370108006536252,-0.387266614757124,-0.388925689426144,-0.396629118641499,-0.40334125391156,-0.403924075690019,-0.396565531884951,-0.394346909894186,-0.38084468007027,-0.411340136721965,-0.388479305709545,-0.388297541033399,-0.401632422535499,-0.390253134714268,-0.384962129586277,-0.40413542177905,-0.398534733237291,-0.403546428496387,-0.409799395641617,-0.396118972410615,-0.403570851730807,-0.417742766188657,-0.398389294918017,-0.384970330996352,-0.375800120647732,-0.387088079615393,-0.390509562984922,-0.401132386189377,-0.384377496237361,-0.377592696674185,-0.405690098577223,-0.378581451676165,-0.389181352078672,-0.387542033921419,-0.398776895428335,-0.401142941134459,-0.405424268740755,-0.414550036560174,-0.397648277742465,-0.394782889202333,-0.388216760882014,-0.389768674053819,-0.396991135005335,-0.407177107655509,-0.388163630280912,-0.381593825503149,-0.406668174195255,-0.391421706069554,-0.38378651820038,-0.383539905984558,-0.393043060170155,-0.399741479697036,-0.390597265273887,-0.38507310313782,-0.370893397709473,-0.384747885148018,-0.40023186618907,-0.394523705318694,-0.395919417969555,-0.393010205847829,-0.400123476502751,-0.401594858874855,-0.391591260221141,-0.39349074420245,-0.390747790182307
325,1,0.5,-0.383178310578627,-0.377466215738643,-0.385375377615735,-0.401744131595882,-0.394463412894475,-0.387018003523943,-0.383285674654401,-0.394881258667772,-0.401975533868065,-0.38783811228744,-0.382084998166768,-0.393090432820941,-0.391269553550173,-0.37125094800126,-0.393199991965014,-0.396966491022186,-0.391942600795833,-0.392016257333897,-0.390102658422872,-0.382862526329848,-0.406211618818218,-0.395705055162764,-0.392832483449461,-0.384644181219129,-0.37466145242247,-0.381480921303448,-0.396339415898091,-0.391479482652231,-0.387683292593686,-0.370540153414242,-0.381575886016941,-0.391805700289472,-0.381528710613116,-0.390038854480902,-0.386840824334559,-0.393798760862048,-0.388164073791806,-0.39131949418262,-0.384857718368396,-0.376015596781076,-0.384979935866625,-0.396843297854361,-0.37915113963297,-0.381335697810177,-0.393949819600867,-0.373121233265277,-0.383563595538079,-0.391704468672848,-0.397775094160219,-0.384369327449913,-0.392715232683788,-0.383777417355056,-0.380530723371751,-0.378990260091564,-0.395402032119598,-0.390204873849506,-0.386042911666264,-0.386631586011786,-0.386923125346006,-0.382212709504118,-0.373266497909681,-0.380057936138059,-0.384671381079195,-0.376353018074294,-0.382613922529141,-0.381678321218012,-0.378788043623527,-0.391770187586222,-0.388172484956795,-0.384602734813673,-0.382632674425358,-0.38120069269295,-0.379350564135198,-0.377872132209511,-0.39591216216185,-0.372396331184531,-0.390427875686274,-0.389407380391446,-0.405756987543885,-0.382595980129432,-0.381057392551466,-0.393750140528311,-0.389180900919948,-0.386221595306818,-0.372915646380025,-0.387649464639737,-0.376166878395684,-0.382530086651875,-0.39920566472483,-0.398959003820884,-0.384462048747273,-0.389631843960902,-0.370290073198837,-0.383268982516926,-0.377211773634172,-0.3848516942688,-0.385148529636596,-0.376719686700157,-0.380442915917851,-0.377138823094799,-0.388904578919822,-0.39886585275566,-0.390054540770419,-0.406320273147019,-0.382058459969996,-0.367568920608373,-0.391411602787193,-0.395427567449542,-0.403383620256449,-0.388893200282944,-0.402933200608801,-0.393353386444336,-0.392996879538496,-0.391464295954078,-0.393930322038811,-0.378973940286741,-0.372200426671461,-0.408732620279984,-0.386565869229612,-0.377828110219182
400,1,0.5,-0.482856466055652,-0.48488332248801,-0.481950441877525,-0.488395713622146,-0.480852579140175,-0.500482102173315,-0.487631855094053,-0.481103261135378,-0.472508664656818,-0.499975857619325,-0.487701783088311,-0.486874031503625,-0.483326863040295,-0.484832707672779,-0.486746461839918,-0.496182750004225,-0.48479153364441,-0.472894416947098,-0.496803369249739,-0.483842003495453,-0.490509142037179,-0.500914557117364,-0.491620079544925,-0.483306494735532,-0.488187492486404,-0.47941840416561,-0.495747768055285,-0.495147888428298,-0.482561320738482,-0.495136095314986,-0.49636309904532,-0.473162415404943,-0.470452567868496,-0.49022311770852,-0.482405071045378,-0.477256850433433,-0.475215153368823,-0.475450264407424,-0.485397061627503,-0.479116055310149,-0.486837978772849,-0.486663001710125,-0.501744781672128,-0.495624199892943,-0.48813652688503,-0.494246931722377,-0.491637504514908,-0.496351453536166,-0.480812038138557,-0.496675900496294,-0.485727931773544,-0.484679154678911,-0.491568734786253,-0.482131682529909,-0.500075717469488,-0.493355469486001,-0.487090399458965,-0.483612979613064,-0.481531828207492,-0.501474271885651,-0.495339026971131,-0.476811858658531,-0.494367031998702,-0.484485752942502,-0.490370537004964,-0.48249331529059,-0.502153990942145,-0.486417304878081,-0.500787337706117,-0.479137595960127,-0.487682443982122,-0.475721205492857,-0.484387723561984,-0.480078277601295,-0.489253696441842,-0.502954257778048,-0.487260456913243,-0.495351222565234,-0.479732641338055,-0.494582069551153,-0.486972596663868,-0.47945622136979,-0.50524521287031,-0.489946928436288,-0.467686294380069,-0.4881795418485,-0.490469582702272,-0.484045474757348,-0.487686205648637,-0.490474459831299,-0.482755630854199,-0.489925514807649,-0.48227582151657,-0.481573794397444,-0.487446359474375,-0.495654775810863,-0.483549596594186,-0.492681107591302,-0.482331695687182,-0.476345593224029,-0.50881254516994,-0.495821401595022,-0.498058673287646,-0.477375100113396,-0.483595909286697,-0.485745755152093,-0.474245165839841,-0.482921119241219,-0.492683410892393,-0.480605398185307,-0.493100036700054,-0.49119972181884,-0.494677068297106,-0.491654413044643,-0.49107915413983,-0.4908310707516,-0.486339294993708,-0.480358021435123,-0.486090278197703,-0.480161407758706
475,1,0.5,-0.525471072292583,-0.540075106063326,-0.551004756134057,-0.543707811097847,-0.54485085722437,-0.550493784103224,-0.54226402107043,-0.536643311203282,-0.554067074061195,-0.541443890436057,-0.548378484415865,-0.54478985875949,-0.553840729674913,-0.536330928165996,-0.549853026615491,-0.525527174936194,-0.539151912768061,-0.543211079448544,-0.547451735504686,-0.543057722717417,-0.547064469686109,-0.537538832937821,-0.555458835169592,-0.548159880332776,-0.540645857318649,-0.542984758024942,-0.558309160193915,-0.537807781586838,-0.549220443965603,-0.559928066316852,-0.532110596036441,-0.548054064699096,-0.552002522841567,-0.565678295562306,-0.546556453012927,-0.543425134717954,-0.530193739204442,-0.553530435756204,-0.553590903238414,-0.552403640713633,-0.537309097997401,-0.546529097318099,-0.556725120341444,-0.548307200139818,-0.545046412187983,-0.55191797511155,-0.559743796638786,-0.558546767699485,-0.556450650586736,-0.556326365374452,-0.539357040015666,-0.547752250507114,-0.552443686163111,-0.548916437873312,-0.53873294456976,-0.542458802814224,-0.543970033200917,-0.54109221707793,-0.534811621069775,-0.537162754487244,-0.555942653994686,-0.542725277997643,-0.532246137532153,-0.56155369342281,-0.54030591895066,-0.545405063534762,-0.549347040957801,-0.551366012071274,-0.548685087401342,-0.547574624733484,-0.539577905036393,-0.544000412195934,-0.542591527333357,-0.540876118237727,-0.546773901612448,-0.537157523285867,-0.5528771657019,-0.537246095825544,-0.542814176479849,-0.530275658085153,-0.540989604718801,-0.539200440872054,-0.545031810592171,-0.552393891812855,-0.548060751116313,-0.53616149173229,-0.542922675313243,-0.553260285552831,-0.540450744505304,-0.538341553230227,-0.551998314718607,-0.545487047392809,-0.547146253406342,-0.549679891631667,-0.559276137692791,-0.535523821375561,-0.547583145400059,-0.54158507173588,-0.533720191410719,-0.558840732243842,-0.554067407318616,-0.543406973131021,-0.553285650069349,-0.539964689529062,-0.535701000516331,-0.545750694231764,-0.539488377126436,-0.541991852080059,-0.550297463770869,-0.552725864814934,-0.542144765711284,-0.550132726021594,-0.551093844223313,-0.542651568279663,-0.537464241266189,-0.547177515144153,-0.527795799359032,-0.551978046702851,-0.540217339038414,-0.538149523808739
550,1,0.5,-0.607850969951183,-0.602051385052643,-0.597404698523893,-0.608866261530028,-0.593134357699376,-0.607343812943302,-0.610680368702486,-0.590494398032853,-0.604445892945969,-0.589782445606581,-0.596748746401309,-0.60748808500225,-0.607498089389105,-0.600899539782025,-0.608526745012728,-0.603563162607057,-0.595023178885276,-0.600755537077317,-0.603780629494037,-0.606299896930916,-0.602932654023256,-0.610610852392539,-0.606827997179349,-0.601609926588774,-0.603576590193721,-0.591225744588996,-0.596756390932765,-0.606457205813235,-0.590696011601688,-0.606791919101781,-0.597525396656909,-0.60695802813235,-0.600955795782661,-0.599403686272201,-0.595718928074068,-0.604623859180549,-0.595132467511599,-0.616052993669795,-0.596202123571791,-0.596532800641475,-0.596838285310017,-0.599020047226479,-0.593447907441377,-0.613145447285215,-0.606149401434382,-0.606124943067743,-0.595328587432885,-0.598708403845267,-0.615469482356445,-0.593155575120257,-0.604014727087452,-0.611817583265067,-0.592870429020837,-0.605059798439704,-0.593347955672431,-0.59870565602313,-0.609195368142778,-0.604818388543025,-0.597479789519843,-0.612813019192774,-0.607753260955662,-0.591796716361164,-0.604490864499736,-0.601146748498897,-0.607151214944911,-0.606096358042942,-0.599597440864919,-0.603180103497336,-0.607577962288642,-0.602305594530884,-0.596669302735779,-0.590784685843758,-0.609350733331549,-0.600494656729228,-0.603990311522546,-0.593314328063029,-0.611076717109518,-0.600597605641287,-0.600289919517523,-0.601510868320888,-0.601821393669956,-0.601907352273685,-0.59396498087732,-0.601654164756027,-0.601737960572038,-0.611982729560968,-0.59462820377043,-0.603146299609734,-0.595006839128159,-0.610806763608517,-0.604989725821379,-0.60651911954949,-0.609965774220263,-0.604588705128892,-0.613765640586904,-0.596009883808927,-0.600258186416279,-0.603180584670804,-0.607622016750793,-0.606669007423173,-0.603210090341261,-0.597977816962793,-0.599483357785511,-0.597105919792617,-0.59676354648037,-0.59052010920889,-0.610905467272599,-0.608757632407926,-0.600228979321561,-0.610989369749804,-0.600935924922275,-0.603898014908832,-0.586116009587014,-0.613791818230703,-0.602868563832164,-0.601785801672769,-0.604315021726051,-0.594096554501557,-0.601092488753726,-0.591103712011123
625,1,0.5,-0.641573246065816,-0.647917129864084,-0.639884100264228,-0.643300120078129,-0.634466289045911,-0.636511306845418,-0.631223830308778,-0.6337985657382,-0.639241021099405,-0.642134576261123,-0.649482010286737,-0.627715360700089,-0.632677929833852,-0.646356928497975,-0.637712037614522,-0.633036081044577,-0.639071068919175,-0.622564570186153,-0.629061500329221,-0.640206180056815,-0.627777315636278,-0.629494120421711,-0.633718251498238,-0.633273365791917,-0.643991479531937,-0.631119610317575,-0.625500593091078,-0.651561051613293,-0.634273617174337,-0.633007857888679,-0.642179742843534,-0.638159916234911,-0.631875561400707,-0.633152102432162,-0.622722456834575,-0.632527278512884,-0.639985035068659,-0.629052834148206,-0.634146534536717,-0.640599487022263,-0.62708377723582,-0.639436684801842,-0.631467573854175,-0.628836530879173,-0.629058717473834,-0.638676083089105,-0.630900360644859,-0.630484894229102,-0.642765684629668,-0.636376313666598,-0.640192677872626,-0.636872775861847,-0.638789922455705,-0.6330084761772,-0.63879433616575,-0.636689988348511,-0.637283495650234,-0.636402537984745,-0.626527067250995,-0.640941951025594,-0.636422645489991,-0.640483694801752,-0.643561017077543,-0.641397814583037,-0.639601978313591,-0.641334795547055,-0.632004342014925,-0.631194370751837,-0.630329763741026,-0.63832604437972,-0.633336896159055,-0.631868205925277,-0.631305172959058,-0.6223961314176,-0.625751791207261,-0.640495487540214,-0.633585049600313,-0.638406451275566,-0.632816406734207,-0.632541035901533,-0.631272513316812,-0.631998950279246,-0.642642401162116,-0.639622907314799,-0.633482684710824,-0.643056378799964,-0.644574926597823,-0.634535845940412,-0.646697995784722,-0.643757147755363,-0.625825047808792,-0.629429339150772,-0.641120444181275,-0.63751125216062,-0.63739140661434,-0.638217428449027,-0.646283636201656,-0.631514399090141,-0.629309649659812,-0.62853713393898,-0.642579026004944,-0.645100678501567,-0.641648344347923,-0.642020111515724,-0.640821442989524,-0.642704940218022,-0.641933226108755,-0.628287612251925,-0.632321972812015,-0.642283506889106,-0.640202896703487,-0.629725047599306,-0.625269578626716,-0.633140471081593,-0.629222352988042,-0.62556915462566,-0.634699402798174,-0.637694934557882,-0.639554408807763,-0.63220914515512
700,1,0.5,-0.657433717085116,-0.672319628004078,-0.665159080566045,-0.67433185827802,-0.672997859475766,-0.66771681085827,-0.685058464108075,-0.677406004202192,-0.668288450447928,-0.677988549902214,-0.671093550231265,-0.676576035485382,-0.67906114341914,-0.675858624867823,-0.675758017458757,-0.661574771228224,-0.669757818928869,-0.677957575478758,-0.676805037817652,-0.677614711584146,-0.678293294038689,-0.673493095775591,-0.668689491665808,-0.671300151649672,-0.672688810647661,-0.668064057544391,-0.674173560848395,-0.684085332038063,-0.671345132305634,-0.675062105529343,-0.680576411305623,-0.662655215610672,-0.6712014788495,-0.666326186129251,-0.6651180057057,-0.679448033909527,-0.678561184147943,-0.672899030356795,-0.668554891041583,-0.659966620738499,-0.667157775173367,-0.673834076515765,-0.673993802492399,-0.66839056503124,-0.674214749243797,-0.668169565559358,-0.672039694424187,-0.669425923154276,-0.666387656735595,-0.673830047453289,-0.673174072275888,-0.657292297764514,-0.667267828464995,-0.670438700256376,-0.679145329028674,-0.681754244695282,-0.677467648128141,-0.680981333765804,-0.678479725292636,-0.661857647504849,-0.669337729832007,-0.670260814443663,-0.679787971187264,-0.674893581344182,-0.660157277344162,-0.67035901266815,-0.677466600156694,-0.67456686798367,-0.677870333883711,-0.671164030145444,-0.675502138438754,-0.671755942343153,-0.66257039873166,-0.670885003209549,-0.668775565819517,-0.676190619887979,-0.664632830534328,-0.677472433921666,-0.659352187690737,-0.669914092495396,-0.670520775679287,-0.673209536864761,-0.673812880102711,-0.671197567915448,-0.668162704789774,-0.677126175193865,-0.669502813654411,-0.670548941511887,-0.669088495814277,-0.670975503075511,-0.669430261265347,-0.66815957718806,-0.672364594886223,-0.659880282303374,-0.671736981300584,-0.674567016782501,-0.679931725178127,-0.676242689996446,-0.671514227037213,-0.675192477559828,-0.664342910815137,-0.676553140314556,-0.680871092281165,-0.66960580980748,-0.67552656219817,-0.669059869228427,-0.676268784398254,-0.675457147159411,-0.671474163858591,-0.676793785230163,-0.662288917692246,-0.663367301124182,-0.677117172984137,-0.655449296653636,-0.664270698350146,-0.671810049557406,-0.667040338292103,-0.66988025935189,-0.671754231756998,-0.670193209348587
100,1,1,-0.307512205674939,-0.312215812955002,-0.355122382966395,-0.31667218197245,-0.319743515966546,-0.279717535614306,-0.329047274975641,-0.301460449496667,-0.29933391573452,-0.311793849654058,-0.297616445451948,-0.315182760902801,-0.313036818308722,-0.34619512857141,-0.325014132570207,-0.282557559793818,-0.318572737248952,-0.335857537336376,-0.289373456287078,-0.315064641732472,-0.353593221927202,-0.315483086357875,-0.274007965072875,-0.313470063530072,-0.361659229662174,-0.291417275085586,-0.345224016538596,-0.313366088647638,-0.325583842350963,-0.361661143045235,-0.329424914965101,-0.312992132989053,-0.308792055078358,-0.365178106325523,-0.315597153020397,-0.320401868220662,-0.331696975839935,-0.346524817123471,-0.324104780868402,-0.315504725864344,-0.309226513183114,-0.319816901964974,-0.316702814540409,-0.305205293061952,-0.334472628499458,-0.318422873783206,-0.30577883474564,-0.324507535918231,-0.364082441344927,-0.343175614228228,-0.320432852647045,-0.316333229184518,-0.324454311327227,-0.333583490783162,-0.310866148218633,-0.310729201808781,-0.336949661432842,-0.306468707263959,-0.310323433246258,-0.327298716574053,-0.328142559334615,-0.349073123129456,-0.320513251445981,-0.324930769754376,-0.336224754437765,-0.323503243716223,-0.312391353138039,-0.323306541315162,-0.336766228151683,-0.331372588016363,-0.30517862369284,-0.32303592268273,-0.29980366569679,-0.331272359583699,-0.300752363777187,-0.324119124724756,-0.317073457565558,-0.302263271209765,-0.315291511034009,-0.282929052980633,-0.321716003179926,-0.300196923067988,-0.339449785987764,-0.298536537763606,-0.347182695391712,-0.344205122343512,-0.315002464504454,-0.371872360437254,-0.317624257021657,-0.343598358530042,-0.27390388561743,-0.328465902990857,-0.312288747731694,-0.305089364368267,-0.354139343632746,-0.335926689336201,-0.343792741315618,-0.304432208689802,-0.322954096944986,-0.334610970967811,-0.328230229542608,-0.315581542473428,-0.331190741342155,-0.326182715133127,-0.310298958456356,-0.34922803929872,-0.349676946024227,-0.343967177626731,-0.327791090217731,-0.304299857260914,-0.290675301571325,-0.336271801439303,-0.302957258466954,-0.359733841762744,-0.29691476403804,-0.304711798679527,-0.313104158074892,-0.298932934385428,-0.315639957512876,-0.344806648630734
